OBJECTID_1,TAP,MAT,pH,AP,AK,TP,TK,TN,OM
45994,647.334,5.22167,8.005,4.306,133.31,0.05484,2.257,0.1874,3.254
46079,549.944,6.12646,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
46080,552.409,6.27454,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
46106,576.623,5.42029,8.212,5.728,126.83,0.06389,2.151,0.1448,2.257
46109,571.517,5.5105,8.136,4.757,220.4,0.05621,1.779,0.09277,1.689
46184,579.48,5.60975,7.948,6.627,89.59,0.03449,2.257,0.1858,3.1
46239,579.027,5.54975,8.207,5.455,107.89,0.04948,2.795,0.2285,3.82
46257,671.196,5.01917,7.948,6.627,88.19,0.03449,2.392,0.1609,2.896
46260,676.84,4.94712,8.222,5.455,107.89,0.05227,2.795,0.1747,3.343
46367,578.376,5.81592,8.207,5.455,107.89,0.04948,2.795,0.2285,3.82
46368,577.334,5.59229,7.948,6.627,88.19,0.03449,2.392,0.1609,2.896
46369,588.3,5.51667,7.336,2.464,52.86,0.03095,1.926,0.05832,0.7596
46371,607.183,5.64138,7.966,4.201,138.27,0.04788,2.221,0.1936,3.37
46516,670.487,5.30538,7.948,6.627,88.19,0.03449,2.392,0.1609,2.896
46627,584.02,5.71433,8.305,3.528,78.59,0.03083,1.892,0.04245,0.8402
46648,675.898,5.137,6.763,5.41,148.12,0.09176,2.561,0.2137,3.796
46756,577.703,5.79221,8.887,4,120.51,0.04941,2.144,0.04699,0.7062
46757,580.904,5.63717,8.305,3.528,78.59,0.03083,1.892,0.04245,0.8402
46758,587.65,5.59758,8.305,3.528,78.59,0.03083,1.892,0.04245,0.8402
46778,678.914,5.40842,7.948,6.627,88.19,0.03449,2.392,0.1609,2.896
46887,580.006,5.69521,8.305,3.528,78.59,0.03083,1.892,0.04245,0.8402
46891,608.238,5.81854,5.642,7.608,65.42,0.05275,1.875,0.1461,2.713
47016,590.037,5.82296,8.392,5.582,110.44,0.03921,2.267,0.1437,2.18
47017,586.388,5.77596,8.136,4.648,200,0.05621,1.799,0.09277,1.689
47018,590.808,5.79821,5.751,7.515,85.58,0.05275,1.849,0.1461,2.571
47020,603.781,5.69025,5.642,7.608,65.42,0.05275,1.875,0.1461,2.713
47021,609.083,5.70542,8.136,4.757,205.9,0.05621,1.84,0.09277,1.689
47147,589.729,5.90658,8.136,4.648,200,0.05621,1.799,0.09277,1.689
47148,595.321,5.85792,7.817,6.662,139.56,0.03164,1.778,0.08151,1.509
47149,602.306,5.79304,5.642,7.608,65.42,0.05275,1.875,0.1461,2.713
47276,589.214,5.87858,5.767,7.53,80,0.03979,1.731,0.1492,2.713
47277,590.612,5.92792,7.817,6.662,139.56,0.03164,1.778,0.08151,1.509
47278,595.793,5.824,8.136,4.648,200,0.05621,1.799,0.09277,1.689
47279,600.149,5.77292,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
47406,595.19,5.82596,5.995,5.65,133.07,0.07,1.821,0.478,10.35
47661,565.675,5.82642,8.136,4.648,200,0.05621,1.799,0.09277,1.689
47662,590.202,5.85129,8.245,6.23,134.43,0.06939,2.14,0.1483,2.558
47674,653.563,5.46542,8.302,6.23,134.43,0.06939,2.14,0.1483,2.558
47920,572.409,5.85096,8.004,5.591,136.78,0.04432,2.305,0.1725,2.532
47921,589.348,5.87325,8.136,4.648,200,0.05621,1.799,0.09277,1.689
48165,524.134,6.44317,8.136,4.757,205.9,0.05621,1.84,0.09277,1.689
48679,569.729,6.70921,8.136,4.757,205.9,0.05621,1.84,0.09277,1.689
49287,506.335,7.07433,8.181,7.467,218.64,0.08899,2.131,0.1674,2.416
51235,490.909,7.23071,9.024,3.052,103.33,0.09935,1.734,0.03831,0.8158
51623,499.536,7.32858,7.97,4,87,0.07657,1.383,0.02268,0.2926
51744,477.991,7.10933,7.97,4,87,0.07657,1.383,0.02268,0.2926
51875,501.65,7.31437,8.426,1.476,61.44,0.04511,2.514,0.014,0.1192
51915,640.182,4.13192,5.746,16.91,118.64,0.1092,1.484,0.3296,10.21
51916,639.692,4.13246,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
51918,636.109,4.18138,5.767,5.828,92.2,0.06091,1.656,0.1402,2.707
51919,634.021,4.18983,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
51920,634.104,4.0855,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
51922,630.158,4.04992,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
51927,647.271,4.04667,7.767,8.747,124.85,0.07368,2.223,0.1898,3.637
51940,758.257,4.25388,5.697,9.42,121.4,0.07586,2.28,0.2152,4.869
51990,639.017,4.11033,5.697,9.42,121.4,0.0625,2.278,0.228,4.172
51991,640.152,4.11754,7.767,8.747,124.85,0.07368,2.223,0.1898,3.637
51995,641.664,4.22967,7.767,8.747,124.85,0.07368,2.223,0.1898,3.637
52000,633.501,4.09521,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
52001,638.801,4.11554,7.767,8.747,124.85,0.07368,2.223,0.1898,3.637
52029,772.664,3.63546,6.638,10.3,171.26,0.1079,1.83,0.4459,9.18
52085,644.564,4.06742,5.869,10.13,163.3,0.09371,2.262,0.4355,9.314
52092,637.63,4.19642,7.767,8.747,124.85,0.07368,2.223,0.1898,3.637
52093,638.101,4.23779,5.767,7.312,97.78,0.06091,1.656,0.1402,2.707
52097,640.31,4.259,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
52102,643.376,4.10312,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
52114,724.868,4.38583,6.48,3.795,123.67,0.09307,2.277,0.2048,4.554
52120,756.733,3.87192,6.638,10.3,171.26,0.1079,1.83,0.4459,9.18
52136,752.791,4.22737,6.406,5.815,218.91,0.0819,1.729,0.1532,3.947
52141,764.407,4.15733,5.697,9.42,121.4,0.09171,2.28,0.2152,4.869
52188,654.836,4.12846,5.697,9.42,121.4,0.0625,2.005,0.2053,3
52190,640.16,4.27983,5.998,7.697,121.84,0.05747,1.542,0.1193,2.49
52191,639.983,4.29533,5.767,5.828,92.2,0.06091,1.656,0.1402,2.707
52192,638.635,4.34504,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
52195,643.225,4.13204,5.697,9.42,121.4,0.0625,2.005,0.2053,3
52196,653.039,3.97492,6.638,10.3,171.26,0.09986,2.059,0.4459,9.18
52198,652.128,4.21058,5.697,9.42,121.4,0.0625,2.005,0.2053,3
52216,726.654,4.35058,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
52232,770.7,3.65896,5.975,8.609,154.66,0.1209,2.077,0.43,7.151
52243,759.438,4.16437,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
52293,645.702,4.35083,7.767,8.747,124.85,0.07368,2.223,0.1898,3.637
52294,645.015,4.25958,5.697,9.42,121.4,0.0625,2.005,0.2053,3
52303,648.799,4.22583,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
52304,664.922,4.26054,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
52308,659.082,4.15887,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
52309,661.438,4.09188,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
52311,670.766,4.09317,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
52333,787.87,3.81942,6.406,5.815,218.91,0.0819,1.729,0.1532,3.947
52334,762.887,3.94433,5.513,9.42,121.4,0.07586,2.28,0.2312,5.492
52338,757.794,4.241,5.513,9.42,121.4,0.07586,2.28,0.2312,5.492
52339,757.805,4.21979,6.406,5.815,218.91,0.0819,1.729,0.1532,3.947
52345,767.209,4.27742,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
52346,764.008,4.04504,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
52362,734.908,3.91175,6.419,14.64,172.13,0.1385,2.267,0.4486,11.81
52391,665.658,4.08758,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
52393,662.944,4.27075,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
52394,661.296,4.25137,7.767,8.747,124.85,0.07368,2.223,0.1898,3.637
52406,655.526,4.24221,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
52407,654.228,4.23071,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
52412,667.773,4.20342,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
