OBJECTID_1,TAP,MAT,pH,AP,AK,TP,TK,TN,OM
2584,540.698,-0.644833,5.915,6.046,113.07,0.1156,2.049,0.2868,7.36
2587,534.679,-0.486167,5.913,7,118.64,0.07645,2.063,0.308,7.76
2594,530.733,-0.699417,5.955,8.566,143.59,0.1028,2.006,0.2721,5.384
2641,525.265,-0.665666,5.955,8,133.3,0.1028,2.006,0.2721,5.384
2649,540.96,-0.518333,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
2667,535.267,-0.500458,5.955,8.523,153.65,0.1028,2.006,0.2721,5.384
2670,532.126,-0.53475,7.998,7.061,133.62,0.04264,1.877,0.295,5.456
2672,545.334,-0.57325,6.564,10.3,171.26,0.102,2.059,0.4459,9.18
2689,542.878,0.319208,6.564,10.3,171.26,0.102,2.059,0.4459,9.18
2690,539.394,0.363292,5.668,12.38,113.07,0.1076,2.128,0.4403,9.608
2692,530.905,0.897416,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
2728,540.401,-0.49675,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
2730,556.532,0.0550837,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
2749,547.367,-0.757916,6.564,10.3,171.26,0.102,2.059,0.4459,9.18
2771,533.865,0.819083,5.668,12.38,113.07,0.1076,2.128,0.4403,9.608
2804,527.82,-0.080708,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
2805,528.856,0.0116673,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
2809,534.133,-0.310958,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
2810,543.872,-0.430459,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
2817,532.694,-0.251417,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
2820,541.365,-0.277416,5.915,6.046,113.07,0.1156,2.049,0.2868,7.36
2826,539.951,-0.334792,7.998,7.061,133.62,0.04264,1.877,0.295,5.456
2829,554.525,-0.961292,6.564,10.3,171.26,0.102,2.059,0.4459,9.18
2830,552.011,-0.733292,5.955,8.523,147.32,0.1028,2.006,0.2721,5.384
2842,549.842,-0.0275834,5.914,12.38,190.23,0.1076,2.052,0.3924,9.777
2852,528.082,0.893375,6.406,5.815,218.91,0.0819,1.82,0.1532,3.947
2901,534.578,-0.371667,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
2902,535.74,-0.215917,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
2923,555.544,-0.356208,5.914,12.38,190.23,0.1076,2.052,0.3924,9.777
2925,550.759,-0.264166,5.913,12.38,190.23,0.1073,2.084,0.257,8.997
2935,536.962,1.09392,6.406,5.815,218.91,0.0819,1.82,0.1532,3.947
2974,528.511,-0.138125,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
2977,549.334,-0.173917,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
2979,552.432,-0.0520414,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
2987,540.547,-0.0529161,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3006,564.177,-0.352875,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
3064,549.555,0.51375,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3065,544.969,-0.00150003,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3066,544.401,-0.36675,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3067,548.195,0.378875,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3071,547.723,0.269834,5.955,8.403,138.04,0.1028,2.006,0.2721,5.384
3090,566.238,-1.1065,5.955,8.282,144.69,0.1028,2.006,0.2721,5.384
3151,530.639,0.221917,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3192,555.456,0.084792,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
3199,535.153,1.45371,6.406,5.815,218.91,0.1219,1.82,0.189,4.513
3254,541.973,0.105333,6.406,5.815,218.91,0.0819,1.789,0.1532,3.947
3263,560.601,-0.201417,5.915,12.38,113.07,0.08461,2.066,0.3031,7.365
3267,565.382,-0.770209,5.955,8.282,152.7,0.1028,2.006,0.2721,5.384
3272,562.963,-0.858542,5.955,8.403,142.06,0.1028,2.006,0.2721,5.384
3285,559.314,0.0169171,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
3292,532.556,1.32937,5.955,7.213,153.71,0.1028,2.006,0.2721,5.384
3293,529.356,1.28525,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
3316,523.772,-0.88175,7.998,7.061,133.62,0.04264,1.877,0.295,5.456
3344,545.672,-0.0808751,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3347,553.389,0.32025,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3352,554.98,0.00908327,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
