Name,High AP,High OM,Low NO_N,Low OM,Low pH,Low TAP,Low TN
SYRU3,3.1438597,0.0590623,0.00632,1.0293268,11.213361,0.7939139,0.00815
SYSRU1,5.8985272,0.1320086,0.00161,0.598764,9.882412,5.6783236,0.00215
SYSRU2,5.9729015,0.0417736,0,0.7974995,13.7218078,4.1512279,0.00189
SYSRU3,6.4938053,0.0466298,0.000406,0.3322091,12.0707361,4.9703218,0.00203
WZRU1,0.5741086,0.1717081,0.0133126,0.1776388,1.9793043,1.1619293,0.000293
WZRU2,1.4629108,0.1162993,0.00394,0.1340141,7.7190763,0.4629457,0.010775
WZRU3,1.6436188,0.0763041,0.007,0.1437523,6.1772224,0.4009592,0.00131
XGRU1,3.585381,0.1376723,0.0159966,0.6228744,11.6327468,0.687371,0.000932
XGRU2,4.2118178,0.1233413,0.007477,0.450234,12.6662108,1.447254,0
XGRU3,3.5656747,0.0840887,0.00701,0.6638083,13.9323035,0.6074506,0.010783
XJRU1,0.3956779,0.3479064,0.00204,0.0836746,0.8737391,4.0271251,0.0204455
XJRU2,0.6457283,0.4162715,0.01133,0.0887864,0.8269138,7.1418592,0.0127797
XJRU3,0.5533283,0.4245031,0.003906,0.1014199,0.7378997,5.7940871,0.000926
XYRU1,1.7896874,0.0756392,0,0.3242051,14.686108,0.9083809,0.00769
XYRU2,2.0101042,0.0703213,0.00593,0.4381465,14.8253634,1.5473769,0.0118605
XYRU3,1.528503,0.0864053,0.00448,0.396491,9.8981756,1.2773048,0.00448
YiYangRU1,2.9860198,0.3539514,0.1239749,0.5071554,8.356747,1.4072745,0
YiYangRU2,2.9741949,0.0670368,0.0152279,0.1972231,15.3894169,0.4600618,0.000761
YiYangRU3,4.1238015,0.0307823,0.00275,0.0904191,13.1206665,0.4828015,0.00229
YLRU1,1.0659851,0.2258246,0.0175239,0.082189,3.9419135,0.8867313,0.00104
YLRU2,1.1738416,0.3038477,0.00613,0.1690965,4.7823092,0.8233052,0.0074
YLRU3,1.8016096,0.2545094,0.01136,0.1120109,6.6176812,0.5411622,0.00177
YYRU1,0.311129,0.418865,0.1872734,0.2237288,1.0092645,5.3829077,0.00576
YYRU2,0.3213473,0.4929518,0.14618,0.2375958,1.0706262,5.0072456,0.0165595
YYRU3,0.2887917,0.3778892,0.0957357,0.3346009,1.0403144,6.0463956,0.00504
