"","Field_types","Ecological_cluster","Phylum","Count","domain"
"226","Upland","High TAP","Chloroflexi",13,"Bacteria"
"227","Upland","High TAP","Desulfobacterota",2,"Bacteria"
"228","Upland","High TAP","Firmicutes",10,"Bacteria"
"229","Upland","High TAP","Gammaproteobacteria",3,"Bacteria"
"230","Upland","High TAP","Low number",20,"Bacteria"
"231","Upland","High TAP","Myxococcota",8,"Bacteria"
"232","Upland","High TAP","Verrucomicrobiota",2,"Bacteria"
"233","Upland","High TK","Acidobacteriota",2,"Bacteria"
"234","Upland","High TK","Actinobacteriota",1,"Bacteria"
"235","Upland","High TK","Alphaproteobacteria",4,"Bacteria"
"236","Upland","High TK","Bacteroidota",1,"Bacteria"
"237","Upland","High TK","Gammaproteobacteria",1,"Bacteria"
"238","Upland","High TK","Myxococcota",1,"Bacteria"
"239","Upland","High TN","Acidobacteriota",5,"Bacteria"
"240","Upland","High TN","Actinobacteriota",19,"Bacteria"
"241","Upland","High TN","Alphaproteobacteria",3,"Bacteria"
"242","Upland","High TN","Bacteroidota",4,"Bacteria"
"243","Upland","High TN","Chloroflexi",1,"Bacteria"
"244","Upland","High TN","Gammaproteobacteria",5,"Bacteria"
"245","Upland","High TN","Low number",12,"Bacteria"
"246","Upland","High TN","Myxococcota",5,"Bacteria"
"247","Upland","High TN","Verrucomicrobiota",4,"Bacteria"
"248","Upland","High TP","Actinobacteriota",1,"Bacteria"
"249","Upland","High TP","Gammaproteobacteria",1,"Bacteria"
"250","Upland","Low AK","Firmicutes",1,"Bacteria"
"251","Upland","Low AP","Actinobacteriota",7,"Bacteria"
"252","Upland","Low AP","Alphaproteobacteria",2,"Bacteria"
"253","Upland","Low AP","Desulfobacterota",2,"Bacteria"
"254","Upland","Low AP","Firmicutes",1,"Bacteria"
"255","Upland","Low AP","Gammaproteobacteria",2,"Bacteria"
"256","Upland","Low AP","Low number",10,"Bacteria"
"257","Upland","Low MAT","Acidobacteriota",33,"Bacteria"
"258","Upland","Low MAT","Actinobacteriota",58,"Bacteria"
"259","Upland","Low MAT","Alphaproteobacteria",22,"Bacteria"
"260","Upland","Low MAT","Bacteroidota",6,"Bacteria"
"261","Upland","Low MAT","Chloroflexi",18,"Bacteria"
"262","Upland","Low MAT","Desulfobacterota",1,"Bacteria"
"263","Upland","Low MAT","Firmicutes",3,"Bacteria"
"264","Upland","Low MAT","Gammaproteobacteria",27,"Bacteria"
"265","Upland","Low MAT","Low number",28,"Bacteria"
"266","Upland","Low MAT","Myxococcota",2,"Bacteria"
"267","Upland","Low MAT","Verrucomicrobiota",7,"Bacteria"
"268","Upland","Low NO N","Gammaproteobacteria",1,"Bacteria"
"269","Upland","Low OM","Alphaproteobacteria",1,"Bacteria"
"270","Upland","Low OM","Firmicutes",2,"Bacteria"
"271","Upland","Low OM","Myxococcota",1,"Bacteria"
"272","Upland","Low pH","Acidobacteriota",18,"Bacteria"
"273","Upland","Low pH","Actinobacteriota",26,"Bacteria"
"274","Upland","Low pH","Alphaproteobacteria",13,"Bacteria"
"275","Upland","Low pH","Bacteroidota",2,"Bacteria"
"276","Upland","Low pH","Chloroflexi",9,"Bacteria"
"277","Upland","Low pH","Desulfobacterota",1,"Bacteria"
"278","Upland","Low pH","Gammaproteobacteria",5,"Bacteria"
"279","Upland","Low pH","Low number",6,"Bacteria"
"280","Upland","Low pH","Myxococcota",3,"Bacteria"
"281","Upland","Low pH","Verrucomicrobiota",2,"Bacteria"
"282","Upland","Low TAP","Acidobacteriota",7,"Bacteria"
"283","Upland","Low TAP","Actinobacteriota",8,"Bacteria"
"284","Upland","Low TAP","Alphaproteobacteria",4,"Bacteria"
"285","Upland","Low TAP","Chloroflexi",5,"Bacteria"
"286","Upland","Low TAP","Gammaproteobacteria",1,"Bacteria"
"287","Upland","Low TAP","Low number",3,"Bacteria"
"288","Upland","Low TAP","Verrucomicrobiota",2,"Bacteria"
"289","Upland","Low TK","Acidobacteriota",9,"Bacteria"
"290","Upland","Low TK","Actinobacteriota",20,"Bacteria"
"291","Upland","Low TK","Alphaproteobacteria",11,"Bacteria"
"292","Upland","Low TK","Chloroflexi",8,"Bacteria"
"293","Upland","Low TK","Gammaproteobacteria",1,"Bacteria"
"294","Upland","Low TK","Low number",6,"Bacteria"
"295","Upland","Low TK","Myxococcota",2,"Bacteria"
"296","Upland","Low TK","Verrucomicrobiota",2,"Bacteria"
"297","Upland","Low TP","Acidobacteriota",1,"Bacteria"
"298","Upland","Low TP","Actinobacteriota",1,"Bacteria"
"299","Upland","Low TP","Alphaproteobacteria",1,"Bacteria"
"300","Upland","Low TP","Firmicutes",2,"Bacteria"
"301","Upland","Low TP","Gammaproteobacteria",1,"Bacteria"
"302","Upland","Low TP","Myxococcota",1,"Bacteria"
"303","Paddy","High AK","Sordariomycetes",1,"Fungi"
"304","Paddy","High AP","Eurotiomycetes",1,"Fungi"
"305","Paddy","High AP","Leotiomycetes",1,"Fungi"
"306","Paddy","High AP","Wallemiomycetes",2,"Fungi"
"307","Paddy","High MAT","Leotiomycetes",1,"Fungi"
"308","Paddy","High MAT","Sordariomycetes",4,"Fungi"
"309","Paddy","High NH N","Ascomycota_unclassified",2,"Fungi"
"310","Paddy","High NH N","Dothideomycetes",1,"Fungi"
"311","Paddy","High NH N","Eurotiomycetes",4,"Fungi"
"312","Paddy","High NH N","k__Fungi_unclassified",1,"Fungi"
"313","Paddy","High NH N","Sordariomycetes",2,"Fungi"
"314","Paddy","High NH N","Zygomycota_unclassified",1,"Fungi"
"315","Paddy","High NO N","Dothideomycetes",1,"Fungi"
"316","Paddy","High NO N","k__Fungi_unclassified",1,"Fungi"
"317","Paddy","High NO N","Sordariomycetes",3,"Fungi"
"318","Paddy","High NO N","Zygomycota_unclassified",1,"Fungi"
"319","Paddy","High OM","Ascomycota_unclassified",1,"Fungi"
"320","Paddy","High OM","Dothideomycetes",1,"Fungi"
"321","Paddy","High OM","k__Fungi_unclassified",2,"Fungi"
"322","Paddy","High OM","Sordariomycetes",5,"Fungi"
"323","Paddy","High TAP","Agaricomycetes",1,"Fungi"
"324","Paddy","High TAP","Dothideomycetes",3,"Fungi"
"325","Paddy","High TAP","Sordariomycetes",1,"Fungi"
"326","Paddy","High TK","Dothideomycetes",1,"Fungi"
"327","Paddy","High TN","Agaricomycetes",2,"Fungi"
"328","Paddy","High TN","Ascomycota_unclassified",1,"Fungi"
"329","Paddy","High TN","k__Fungi_unclassified",3,"Fungi"
"330","Paddy","High TN","Leotiomycetes",2,"Fungi"
"331","Paddy","High TP","Agaricomycetes",1,"Fungi"
"332","Paddy","High TP","Ascomycota_unclassified",1,"Fungi"
"333","Paddy","High TP","Dothideomycetes",4,"Fungi"
"334","Paddy","High TP","Eurotiomycetes",1,"Fungi"
"335","Paddy","High TP","Sordariomycetes",4,"Fungi"
"336","Paddy","Low AP","Dothideomycetes",2,"Fungi"
"337","Paddy","Low AP","Sordariomycetes",2,"Fungi"
"338","Paddy","Low MAT","Agaricomycetes",3,"Fungi"
"339","Paddy","Low MAT","Ascomycota_unclassified",4,"Fungi"
"340","Paddy","Low MAT","Dothideomycetes",3,"Fungi"
"341","Paddy","Low MAT","Eurotiomycetes",1,"Fungi"
"342","Paddy","Low MAT","k__Fungi_unclassified",4,"Fungi"
"343","Paddy","Low MAT","Leotiomycetes",4,"Fungi"
"344","Paddy","Low MAT","Low number",2,"Fungi"
"345","Paddy","Low MAT","Sordariomycetes",1,"Fungi"
"346","Paddy","Low MAT","Tremellomycetes",6,"Fungi"
"347","Paddy","Low MAT","Zygomycota_unclassified",1,"Fungi"
"348","Paddy","Low OM","Tremellomycetes",1,"Fungi"
"349","Paddy","Low pH","Ascomycota_unclassified",3,"Fungi"
"350","Paddy","Low pH","Dothideomycetes",4,"Fungi"
"351","Paddy","Low pH","Eurotiomycetes",2,"Fungi"
"352","Paddy","Low pH","k__Fungi_unclassified",1,"Fungi"
"353","Paddy","Low pH","Leotiomycetes",1,"Fungi"
"354","Paddy","Low pH","Sordariomycetes",9,"Fungi"
"355","Paddy","Low pH","Tremellomycetes",2,"Fungi"
"356","Paddy","Low pH","Zygomycota_unclassified",5,"Fungi"
"357","Paddy","Low TAP","Agaricomycetes",4,"Fungi"
"358","Paddy","Low TAP","Ascomycota_unclassified",1,"Fungi"
"359","Paddy","Low TAP","Dothideomycetes",4,"Fungi"
"360","Paddy","Low TAP","Eurotiomycetes",7,"Fungi"
"361","Paddy","Low TAP","k__Fungi_unclassified",5,"Fungi"
"362","Paddy","Low TAP","Leotiomycetes",3,"Fungi"
"363","Paddy","Low TAP","Low number",3,"Fungi"
"364","Paddy","Low TAP","Sordariomycetes",10,"Fungi"
"365","Paddy","Low TAP","Zygomycota_unclassified",2,"Fungi"
"366","Paddy","Low TN","Eurotiomycetes",1,"Fungi"
"367","Paddy","Low TP","Zygomycota_unclassified",1,"Fungi"
"368","Upland","High AK","Sordariomycetes",1,"Fungi"
"369","Upland","High AP","Sordariomycetes",1,"Fungi"
"370","Upland","High AP","Zygomycota_unclassified",1,"Fungi"
"371","Upland","High MAT","Ascomycota_unclassified",4,"Fungi"
"372","Upland","High MAT","Dothideomycetes",2,"Fungi"
"373","Upland","High MAT","Sordariomycetes",3,"Fungi"
"374","Upland","High NH N","Tremellomycetes",4,"Fungi"
"375","Upland","High OM","Tremellomycetes",1,"Fungi"
"376","Upland","High pH","Dothideomycetes",3,"Fungi"
"377","Upland","High pH","Eurotiomycetes",1,"Fungi"
"378","Upland","High pH","k__Fungi_unclassified",4,"Fungi"
"379","Upland","High pH","Low number",3,"Fungi"
"380","Upland","High pH","Sordariomycetes",12,"Fungi"
"381","Upland","High pH","Zygomycota_unclassified",4,"Fungi"
"382","Upland","High TAP","Agaricomycetes",3,"Fungi"
"383","Upland","High TAP","Dothideomycetes",4,"Fungi"
"384","Upland","High TAP","Eurotiomycetes",2,"Fungi"
"385","Upland","High TAP","Sordariomycetes",4,"Fungi"
"386","Upland","High TN","Ascomycota_unclassified",2,"Fungi"
"387","Upland","High TN","Dothideomycetes",2,"Fungi"
"388","Upland","High TN","Sordariomycetes",3,"Fungi"
"389","Upland","High TN","Tremellomycetes",1,"Fungi"
"390","Upland","High TP","Eurotiomycetes",1,"Fungi"
"391","Upland","Low AP","Ascomycota_unclassified",1,"Fungi"
"392","Upland","Low AP","Eurotiomycetes",1,"Fungi"
"393","Upland","Low AP","k__Fungi_unclassified",2,"Fungi"
"394","Upland","Low AP","Sordariomycetes",3,"Fungi"
"395","Upland","Low AP","Zygomycota_unclassified",1,"Fungi"
"396","Upland","Low MAT","Agaricomycetes",2,"Fungi"
"397","Upland","Low MAT","Ascomycota_unclassified",6,"Fungi"
"398","Upland","Low MAT","Dothideomycetes",1,"Fungi"
"399","Upland","Low MAT","Eurotiomycetes",6,"Fungi"
"400","Upland","Low MAT","k__Fungi_unclassified",1,"Fungi"
"401","Upland","Low MAT","Leotiomycetes",8,"Fungi"
"402","Upland","Low MAT","Sordariomycetes",33,"Fungi"
"403","Upland","Low MAT","Tremellomycetes",5,"Fungi"
"404","Upland","Low MAT","Wallemiomycetes",2,"Fungi"
"405","Upland","Low MAT","Zygomycota_unclassified",5,"Fungi"
"406","Upland","Low MAT","ZZ_Low number",1,"Fungi"
"407","Upland","Low NO N","Ascomycota_unclassified",1,"Fungi"
"408","Upland","Low pH","Sordariomycetes",2,"Fungi"
"409","Upland","Low TAP","Dothideomycetes",1,"Fungi"
"410","Upland","Low TAP","Sordariomycetes",1,"Fungi"
"411","Upland","Low TAP","Tremellomycetes",1,"Fungi"
"412","Upland","Low TK","Agaricomycetes",1,"Fungi"
"413","Upland","Low TK","Ascomycota_unclassified",3,"Fungi"
"414","Upland","Low TK","Dothideomycetes",2,"Fungi"
"415","Upland","Low TK","k__Fungi_unclassified",1,"Fungi"
"416","Upland","Low TK","Sordariomycetes",4,"Fungi"
"417","Upland","Low TN","k__Fungi_unclassified",1,"Fungi"
"418","Upland","Low TP","Ascomycota_unclassified",1,"Fungi"
"419","Upland","Low TP","Eurotiomycetes",1,"Fungi"
"420","Upland","Low TP","Sordariomycetes",1,"Fungi"
"421","Upland","Low TP","Zygomycota_unclassified",1,"Fungi"
